race,sex,salary
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 Asian-Pac-Islander, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 Black, Female, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Asian-Pac-Islander, Female, >50K
 White, Male, >50K
 Black, Male, <=50K
 White, Female, >50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 Black, Female, <=50K
 White, Female, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, >50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 Asian-Pac-Islander, Female, >50K
 Black, Female, <=50K
 Black, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Other, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Female, <=50K
 Asian-Pac-Islander, Male, >50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Male, >50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 Black, Female, <=50K
 Black, Female, <=50K
 Asian-Pac-Islander, Male, >50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 Black, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 Black, Male, >50K
 White, Female, <=50K
 Black, Female, <=50K
 Black, Male, <=50K
 White, Male, >50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 Black, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Female, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 Asian-Pac-Islander, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Male, <=50K
 Asian-Pac-Islander, Male, <=50K
 White, Male, <=50K
 Black, Male, >50K
 White, Female, >50K
 White, Female, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 Amer-Indian-Eskimo, Male, <=50K
 White, Male, >50K
 Black, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Female, <=50K
 Black, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, >50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 Black, Male, >50K
 Black, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Female, <=50K
 White, Male, >50K
 White, Male, >50K
 Black, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 Amer-Indian-Eskimo, Male, <=50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 Asian-Pac-Islander, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 Asian-Pac-Islander, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Male, <=50K
 Black, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, >50K
 Amer-Indian-Eskimo, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Female, <=50K
 Black, Male, <=50K
 Black, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, >50K
 Asian-Pac-Islander, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 Black, Male, <=50K
 White, Male, >50K
 White, Female, >50K
 Black, Male, >50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 Black, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, >50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, >50K
 White, Male, <=50K
 Black, Female, <=50K
 Black, Female, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 Asian-Pac-Islander, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 Black, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 Black, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Asian-Pac-Islander, Male, <=50K
 White, Female, <=50K
 White, Female, >50K
 White, Male, >50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 Asian-Pac-Islander, Female, <=50K
 White, Male, <=50K
 Other, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Female, >50K
 White, Female, <=50K
 Black, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, >50K
 Black, Female, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Male, >50K
 White, Female, <=50K
 White, Female, >50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 Black, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Male, >50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, >50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 Black, Female, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, >50K
 White, Male, <=50K
 Black, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 Asian-Pac-Islander, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 Black, Male, <=50K
 Amer-Indian-Eskimo, Female, <=50K
 White, Female, <=50K
 Asian-Pac-Islander, Male, >50K
 White, Male, >50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Female, >50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 Black, Male, >50K
 White, Female, <=50K
 Asian-Pac-Islander, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, >50K
 White, Male, <=50K
 White, Female, <=50K
 Black, Male, <=50K
 White, Female, >50K
 White, Female, >50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Female, <=50K
 Black, Female, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Female, >50K
 White, Female, >50K
 Asian-Pac-Islander, Male, >50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 Asian-Pac-Islander, Female, <=50K
 Black, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 Black, Female, <=50K
 White, Female, <=50K
 Asian-Pac-Islander, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 Black, Female, <=50K
 White, Male, >50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Female, >50K
 Black, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Asian-Pac-Islander, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 Amer-Indian-Eskimo, Male, <=50K
 Black, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 Asian-Pac-Islander, Male, >50K
 Black, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Male, >50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, >50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Other, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 Black, Male, >50K
 White, Male, >50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Female, <=50K
 Asian-Pac-Islander, Female, <=50K
 White, Female, >50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Female, <=50K
 White, Female, >50K
 White, Female, <=50K
 White, Male, >50K
 White, Female, <=50K
 Black, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Male, >50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 Black, Female, <=50K
 White, Male, <=50K
 Asian-Pac-Islander, Male, >50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 Asian-Pac-Islander, Male, >50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 Black, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 Black, Female, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 Black, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Female, >50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 Asian-Pac-Islander, Female, >50K
 White, Male, <=50K
 Black, Male, <=50K
 Black, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, >50K
 White, Female, >50K
 White, Male, <=50K
 Black, Male, <=50K
 Black, Male, <=50K
 White, Female, <=50K
 Amer-Indian-Eskimo, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 Black, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, >50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 Asian-Pac-Islander, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Female, <=50K
 Asian-Pac-Islander, Female, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Male, >50K
 White, Male, >50K
 Black, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Female, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Male, <=50K
 White, Female, >50K
 White, Male, >50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Male, >50K
 Asian-Pac-Islander, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Male, <=50K
 White, Female, >50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, >50K
 Asian-Pac-Islander, Male, <=50K
 White, Male, <=50K
 White, Male, >50K
 Black, Female, <=50K
 White, Male, <=50K
 White, Male, >50K
 White, Male, >50K
 White, Female, <=50K
 White, Female, >50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 Asian-Pac-Islander, Female, <=50K
 White, Male, <=50K
 Black, Female, >50K
 White, Male, <=50K
 Asian-Pac-Islander, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 Asian-Pac-Islander, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, >50K
 White, Female, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Female, <=50K
 White, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
 Black, Male, <=50K
 White, Male, <=50K
 White, Male, <=50K
